country,year,sex,age,population,foreign_exch_reserve,GPD_per_cap,Unemployment,Inflation_rate,Life_length_expectancy,GINI,ARMS_export,ARMS_import,Corruption_perception,suicides_no
Austria,1995,female,15-24 years,495368,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,19
Austria,1995,female,25-34 years,678262,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,59
Austria,1995,female,35-54 years,1065630,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,136
Austria,1995,female,5-14 years,460945,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,0
Austria,1995,female,55-74 years,843210,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,141
Austria,1995,female,75+ years,341098,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,100
Austria,1995,male,15-24 years,509262,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,134
Austria,1995,male,25-34 years,707468,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,237
Austria,1995,male,35-54 years,1074328,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,437
Austria,1995,male,5-14 years,483644,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,8
Austria,1995,male,55-74 years,670553,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,333
Austria,1995,male,75+ years,147262,23368742795,30325.84958,4.347300053,2.243366681,76.66829268,31.1,,24000000,,184
Austria,1996,female,15-24 years,485090,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,12
Austria,1996,female,25-34 years,672341,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,53
Austria,1996,female,35-54 years,1070879,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,140
Austria,1996,female,5-14 years,461711,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,0
Austria,1996,female,55-74 years,850049,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,126
Austria,1996,female,75+ years,351514,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,112
Austria,1996,male,15-24 years,498112,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,108
Austria,1996,male,25-34 years,696869,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,203
Austria,1996,male,35-54 years,1080848,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,452
Austria,1996,male,5-14 years,483799,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,4
Austria,1996,male,55-74 years,690803,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,381
Austria,1996,male,75+ years,151691,26833509076,29809.07677,5.281300068,1.860973769,76.87073171,,18000000,10000000,,188
Austria,1997,female,15-24 years,477550,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,23
Austria,1997,female,25-34 years,663325,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,48
Austria,1997,female,35-54 years,1084510,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,131
Austria,1997,female,5-14 years,461121,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,1
Austria,1997,female,55-74 years,850056,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,131
Austria,1997,female,75+ years,363002,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,83
Austria,1997,male,15-24 years,490385,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,121
Austria,1997,male,25-34 years,682210,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,201
Austria,1997,male,35-54 years,1095317,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,379
Austria,1997,male,5-14 years,483890,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,2
Austria,1997,male,55-74 years,704226,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,313
Austria,1997,male,75+ years,156997,22021086580,26705.4786,5.149499893,1.305983072,77.3195122,30.2,1000000,182000000,,159
Austria,1998,female,15-24 years,472685,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,24
Austria,1998,female,25-34 years,649694,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,45
Austria,1998,female,35-54 years,1103422,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,116
Austria,1998,female,5-14 years,460861,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,2
Austria,1998,female,55-74 years,846818,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,116
Austria,1998,female,75+ years,374674,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,79
Austria,1998,male,15-24 years,486438,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,99
Austria,1998,male,25-34 years,663510,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,166
Austria,1998,male,35-54 years,1114719,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,407
Austria,1998,male,5-14 years,484321,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,6
Austria,1998,male,55-74 years,714245,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,334
Austria,1998,male,75+ years,162132,25207674037,27361.87511,5.522600174,0.922465841,77.67073171,,29000000,228000000,7.5,165
Austria,1999,female,15-24 years,470179,18923059531,27174.29716,4.697700024,0.568990767,77.87560976,,23000000,48000000,7.6,25
